From Type;From Name;Edge Type;To Type;To Name;Weight;Label
Station;Pyramides;Métro 7;Station;Riquet;1;Métro 7
Station;Riquet;Métro 7;Station;Stalingrad;1;Métro 7
Station;Stalingrad;Métro 7;Station;Sully - Morland;1;Métro 7
Station;Sully - Morland;Métro 7;Station;Tolbiac;1;Métro 7
Station;Tolbiac;Métro 7;Station;Villejuif - Louis Aragon;1;Métro 7
Station;Villejuif - Louis Aragon;Métro 7;Station;Villejuif Léo Lagrange;1;Métro 7
Station;Villejuif Léo Lagrange;Métro 7;Station;Villejuif Paul Vaillant-Couturier;1;Métro 7
Station;Balard;Métro 8;Station;Bastille;1;Métro 8
Station;Bastille;Métro 8;Station;Bonne Nouvelle;1;Métro 8
Station;Bonne Nouvelle;Métro 8;Station;Boucicaut;1;Métro 8
Station;Boucicaut;Métro 8;Station;Charenton - Ecoles;1;Métro 8
Station;Charenton - Ecoles;Métro 8;Station;Chemin Vert;1;Métro 8
Station;Chemin Vert;Métro 8;Station;Commerce;1;Métro 8
Station;Commerce;Métro 8;Station;Concorde;1;Métro 8
Station;Concorde;Métro 8;Station;Créteil - L'Echat;1;Métro 8
Station;Créteil - L'Echat;Métro 8;Station;Créteil - Préfecture;1;Métro 8
Station;Créteil - Préfecture;Métro 8;Station;Créteil - Université;1;Métro 8
Station;Créteil - Université;Métro 8;Station;Daumesnil;1;Métro 8
Station;Daumesnil;Métro 8;Station;Ecole Militaire;1;Métro 8
Station;Ecole Militaire;Métro 8;Station;Ecole Vétérinaire de Maisons-Alfort;1;Métro 8
Station;Ecole Vétérinaire de Maisons-Alfort;Métro 8;Station;Faidherbe - Chaligny;1;Métro 8
Station;Faidherbe - Chaligny;Métro 8;Station;Filles du Calvaire;1;Métro 8
Station;Filles du Calvaire;Métro 8;Station;Félix Faure;1;Métro 8
Station;Félix Faure;Métro 8;Station;Grands Boulevards;1;Métro 8
Station;Grands Boulevards;Métro 8;Station;Invalides;1;Métro 8
Station;Invalides;Métro 8;Station;La Motte-Picquet - Grenelle;1;Métro 8
Station;La Motte-Picquet - Grenelle;Métro 8;Station;La Tour-Maubourg;1;Métro 8
Station;La Tour-Maubourg;Métro 8;Station;Ledru-Rollin;1;Métro 8
Station;Ledru-Rollin;Métro 8;Station;Liberté;1;Métro 8
Station;Liberté;Métro 8;Station;Lourmel;1;Métro 8
Station;Lourmel;Métro 8;Station;Madeleine;1;Métro 8
Station;Madeleine;Métro 8;Station;Maisons-Alfort - Les Juilliottes;1;Métro 8
Station;Maisons-Alfort - Les Juilliottes;Métro 8;Station;Maisons-Alfort - Stade;1;Métro 8
Station;Maisons-Alfort - Stade;Métro 8;Station;Michel Bizot;1;Métro 8
Station;Michel Bizot;Métro 8;Station;Montgallet;1;Métro 8
Station;Montgallet;Métro 8;Station;Opéra;1;Métro 8
Station;Opéra;Métro 8;Station;Pointe du Lac;1;Métro 8
Station;Pointe du Lac;Métro 8;Station;Porte Dorée;1;Métro 8
Station;Porte Dorée;Métro 8;Station;Porte de Charenton;1;Métro 8
Station;Porte de Charenton;Métro 8;Station;Reuilly - Diderot;1;Métro 8
Station;Reuilly - Diderot;Métro 8;Station;Richelieu - Drouot;1;Métro 8
Station;Richelieu - Drouot;Métro 8;Station;République;1;Métro 8
Station;République;Métro 8;Station;Saint-Sébastien - Froissart;1;Métro 8
Station;Saint-Sébastien - Froissart;Métro 8;Station;Strasbourg - Saint-Denis;1;Métro 8
Station;Alma - Marceau;Métro 9;Station;Billancourt;1;Métro 9
Station;Billancourt;Métro 9;Station;Bonne Nouvelle;1;Métro 9
Station;Bonne Nouvelle;Métro 9;Station;Buzenval;1;Métro 9
Station;Buzenval;Métro 9;Station;Charonne;1;Métro 9
Station;Charonne;Métro 9;Station;Chaussée d'Antin - La Fayette;1;Métro 9
Station;Chaussée d'Antin - La Fayette;Métro 9;Station;Croix de Chavaux;1;Métro 9
Station;Croix de Chavaux;Métro 9;Station;Exelmans;1;Métro 9
Station;Exelmans;Métro 9;Station;Franklin D. Roosevelt;1;Métro 9
Station;Franklin D. Roosevelt;Métro 9;Station;Grands Boulevards;1;Métro 9
Station;Grands Boulevards;Métro 9;Station;Havre-Caumartin;1;Métro 9
Station;Havre-Caumartin;Métro 9;Station;Iéna;1;Métro 9
Station;Iéna;Métro 9;Station;Jasmin;1;Métro 9
Station;Jasmin;Métro 9;Station;La Muette;1;Métro 9
Station;La Muette;Métro 9;Station;Mairie de Montreuil;1;Métro 9
Station;Mairie de Montreuil;Métro 9;Station;Maraîchers;1;Métro 9
Station;Maraîchers;Métro 9;Station;Marcel Sembat;1;Métro 9
Station;Marcel Sembat;Métro 9;Station;Michel-Ange - Auteuil;1;Métro 9
Station;Michel-Ange - Auteuil;Métro 9;Station;Michel-Ange - Molitor;1;Métro 9
Station;Michel-Ange - Molitor;Métro 9;Station;Miromesnil;1;Métro 9
Station;Miromesnil;Métro 9;Station;Nation;1;Métro 9
Station;Nation;Métro 9;Station;Oberkampf;1;Métro 9
Station;Oberkampf;Métro 9;Station;Pont de Sèvres;1;Métro 9
Station;Pont de Sèvres;Métro 9;Station;Porte de Montreuil;1;Métro 9
Station;Porte de Montreuil;Métro 9;Station;Porte de Saint-Cloud;1;Métro 9
Station;Porte de Saint-Cloud;Métro 9;Station;Ranelagh;1;Métro 9
Station;Ranelagh;Métro 9;Station;Richelieu - Drouot;1;Métro 9
Station;Richelieu - Drouot;Métro 9;Station;Robespierre;1;Métro 9
Station;Robespierre;Métro 9;Station;Rue de la Pompe;1;Métro 9
Station;Rue de la Pompe;Métro 9;Station;Rue des Boulets;1;Métro 9
Station;Rue des Boulets;Métro 9;Station;République;1;Métro 9
Station;République;Métro 9;Station;Saint-Ambroise;1;Métro 9
Station;Saint-Ambroise;Métro 9;Station;Saint-Augustin;1;Métro 9
Station;Saint-Augustin;Métro 9;Station;Saint-Philippe-du-Roule;1;Métro 9
Station;Saint-Philippe-du-Roule;Métro 9;Station;Strasbourg - Saint-Denis;1;Métro 9
Station;Strasbourg - Saint-Denis;Métro 9;Station;Trocadéro;1;Métro 9
Station;Trocadéro;Métro 9;Station;Voltaire;1;Métro 9
Station;Avenue Emile Zola;Métro 10;Station;Boulogne Jean Jaurès;1;Métro 10
Station;Boulogne Jean Jaurès;Métro 10;Station;Boulogne Pont de Saint-Cloud;1;Métro 10
Station;Boulogne Pont de Saint-Cloud;Métro 10;Station;Cardinal Lemoine;1;Métro 10
