station1;station2;connected
Convention;Corentin Celton;True
Corentin Celton;Falguière;True
Falguière;Front Populaire;True
Front Populaire;Jules Joffrin;True
Jules Joffrin;Lamarck - Caulaincourt;True
Lamarck - Caulaincourt;Madeleine;True
Madeleine;Mairie d'Aubervilliers;True
Mairie d'Aubervilliers;Mairie d'Issy;True
Mairie d'Issy;Marcadet - Poissonniers;True
Marcadet - Poissonniers;Marx Dormoy;True
Marx Dormoy;Montparnasse Bienvenue;True
Montparnasse Bienvenue;Notre-Dame des Champs;True
Notre-Dame des Champs;Notre-Dame-de-Lorette;True
Notre-Dame-de-Lorette;Pasteur;True
Pasteur;Pigalle;True
Pigalle;Porte de Versailles;True
Porte de Versailles;Porte de la Chapelle;True
Porte de la Chapelle;Rennes;True
Rennes;Rue du Bac;True
Rue du Bac;Saint-Georges;True
Saint-Georges;Saint-Lazare;True
Saint-Lazare;Solférino;True
Solférino;Sèvres - Babylone;True
Sèvres - Babylone;Trinité - d'Estienne d'Orves;True
Trinité - d'Estienne d'Orves;Vaugirard;True
Vaugirard;Volontaires;True
Asnières - Gennevilliers Les Courtilles;Basilique de Saint-Denis;True
Basilique de Saint-Denis;Brochant;True
Brochant;Carrefour Pleyel;True
Carrefour Pleyel;Champs-Elysées - Clemenceau;True
Champs-Elysées - Clemenceau;Châtillon-Montrouge;True
Châtillon-Montrouge;Duroc;True
Duroc;Gabriel Péri;True
Gabriel Péri;Garibaldi;True
Garibaldi;Gaîté;True
Gaîté;Guy Môquet;True
Guy Môquet;Invalides;True
Invalides;La Fourche;True
La Fourche;Les Agnettes;True
Les Agnettes;Liège;True
Liège;Mairie de Clichy;True
Mairie de Clichy;Mairie de Saint-Ouen;True
Mairie de Saint-Ouen;Malakoff - Plateau de Vanves;True
Malakoff - Plateau de Vanves;Malakoff - Rue Etienne Dolet;True
Malakoff - Rue Etienne Dolet;Miromesnil;True
Miromesnil;Montparnasse Bienvenue;True
Montparnasse Bienvenue;Pernety;True
Pernety;Place de Clichy;True
Place de Clichy;Plaisance;True
Plaisance;Porte de Clichy;True
Porte de Clichy;Porte de Saint-Ouen;True
Porte de Saint-Ouen;Porte de Vanves;True
Porte de Vanves;Saint-Denis - Porte de Paris;True
Saint-Denis - Porte de Paris;Saint-Denis - Université;True
Saint-Denis - Université;Saint-François-Xavier;True
Saint-François-Xavier;Saint-Lazare;True
Saint-Lazare;Varenne;True
Aéroport d'Orly;Bercy;True
Bercy;Bibliothèque François Mitterrand;True
Bibliothèque François Mitterrand;Chevilly-Larue (Marché International);True
Chevilly-Larue (Marché International);Châtelet;True
Châtelet;Cour Saint-Emilion;True
Cour Saint-Emilion;Gare de Lyon;True
Gare de Lyon;Hôpital Bicêtre;True
Hôpital Bicêtre;L'Haÿ-les-Roses;True
L'Haÿ-les-Roses;Madeleine;True
Madeleine;Mairie de Saint-Ouen;True
Mairie de Saint-Ouen;Maison Blanche;True
Maison Blanche;Olympiades;True
Olympiades;Pont Cardinet;True
Pont Cardinet;Porte de Clichy;True
Porte de Clichy;Pyramides;True
Pyramides;Saint-Denis - Pleyel;True
Saint-Denis - Pleyel;Saint-Lazare;True
Saint-Lazare;Saint-Ouen;True
Saint-Ouen;Thiais - Orly (Pont de Rungis);True
