station1;station2;connected;ligne
Liberté;Lourmel;True;Métro 8
Lourmel;Madeleine;True;Métro 8
Madeleine;Maisons-Alfort - Les Juilliottes;True;Métro 8
Maisons-Alfort - Les Juilliottes;Maisons-Alfort - Stade;True;Métro 8
Maisons-Alfort - Stade;Michel Bizot;True;Métro 8
Michel Bizot;Montgallet;True;Métro 8
Montgallet;Opéra;True;Métro 8
Opéra;Pointe du Lac;True;Métro 8
Pointe du Lac;Porte Dorée;True;Métro 8
Porte Dorée;Porte de Charenton;True;Métro 8
Porte de Charenton;Reuilly - Diderot;True;Métro 8
Reuilly - Diderot;Richelieu - Drouot;True;Métro 8
Richelieu - Drouot;République;True;Métro 8
République;Saint-Sébastien - Froissart;True;Métro 8
Saint-Sébastien - Froissart;Strasbourg - Saint-Denis;True;Métro 8
Alma - Marceau;Billancourt;True;Métro 9
Billancourt;Bonne Nouvelle;True;Métro 9
Bonne Nouvelle;Buzenval;True;Métro 9
Buzenval;Charonne;True;Métro 9
Charonne;Chaussée d'Antin - La Fayette;True;Métro 9
Chaussée d'Antin - La Fayette;Croix de Chavaux;True;Métro 9
Croix de Chavaux;Exelmans;True;Métro 9
Exelmans;Franklin D. Roosevelt;True;Métro 9
Franklin D. Roosevelt;Grands Boulevards;True;Métro 9
Grands Boulevards;Havre-Caumartin;True;Métro 9
Havre-Caumartin;Iéna;True;Métro 9
Iéna;Jasmin;True;Métro 9
Jasmin;La Muette;True;Métro 9
La Muette;Mairie de Montreuil;True;Métro 9
Mairie de Montreuil;Maraîchers;True;Métro 9
Maraîchers;Marcel Sembat;True;Métro 9
Marcel Sembat;Michel-Ange - Auteuil;True;Métro 9
Michel-Ange - Auteuil;Michel-Ange - Molitor;True;Métro 9
Michel-Ange - Molitor;Miromesnil;True;Métro 9
Miromesnil;Nation;True;Métro 9
Nation;Oberkampf;True;Métro 9
Oberkampf;Pont de Sèvres;True;Métro 9
Pont de Sèvres;Porte de Montreuil;True;Métro 9
Porte de Montreuil;Porte de Saint-Cloud;True;Métro 9
Porte de Saint-Cloud;Ranelagh;True;Métro 9
Ranelagh;Richelieu - Drouot;True;Métro 9
Richelieu - Drouot;Robespierre;True;Métro 9
Robespierre;Rue de la Pompe;True;Métro 9
Rue de la Pompe;Rue des Boulets;True;Métro 9
Rue des Boulets;République;True;Métro 9
République;Saint-Ambroise;True;Métro 9
Saint-Ambroise;Saint-Augustin;True;Métro 9
Saint-Augustin;Saint-Philippe-du-Roule;True;Métro 9
Saint-Philippe-du-Roule;Strasbourg - Saint-Denis;True;Métro 9
Strasbourg - Saint-Denis;Trocadéro;True;Métro 9
Trocadéro;Voltaire;True;Métro 9
Avenue Emile Zola;Boulogne Jean Jaurès;True;Métro 10
Boulogne Jean Jaurès;Boulogne Pont de Saint-Cloud;True;Métro 10
Boulogne Pont de Saint-Cloud;Cardinal Lemoine;True;Métro 10
Cardinal Lemoine;Chardon Lagache;True;Métro 10
Chardon Lagache;Charles Michels;True;Métro 10
Charles Michels;Cluny - La Sorbonne;True;Métro 10
Cluny - La Sorbonne;Duroc;True;Métro 10
Duroc;Eglise d'Auteuil;True;Métro 10
Eglise d'Auteuil;Gare d'Austerlitz;True;Métro 10
Gare d'Austerlitz;Javel - André Citroën;True;Métro 10
Javel - André Citroën;Jussieu;True;Métro 10
Jussieu;La Motte-Picquet - Grenelle;True;Métro 10
La Motte-Picquet - Grenelle;Mabillon;True;Métro 10
Mabillon;Maubert - Mutualité;True;Métro 10
Maubert - Mutualité;Michel-Ange - Auteuil;True;Métro 10
Michel-Ange - Auteuil;Michel-Ange - Molitor;True;Métro 10
Michel-Ange - Molitor;Mirabeau;True;Métro 10
Mirabeau;Odéon;True;Métro 10
Odéon;Porte d'Auteuil;True;Métro 10
Porte d'Auteuil;Sèvres - Babylone;True;Métro 10
Sèvres - Babylone;Ségur;True;Métro 10
Ségur;Vaneau;True;Métro 10
Arts et Métiers;Belleville;True;Métro 11
Belleville;Châtelet;True;Métro 11
Châtelet;Coteaux Beauclair;True;Métro 11
Coteaux Beauclair;Goncourt;True;Métro 11
Goncourt;Hôtel de Ville;True;Métro 11
Hôtel de Ville;Jourdain;True;Métro 11
Jourdain;La Dhuys;True;Métro 11
La Dhuys;Mairie des Lilas;True;Métro 11
Mairie des Lilas;Montreuil - Hôpital;True;Métro 11
Montreuil - Hôpital;Place des Fêtes;True;Métro 11
Place des Fêtes;Porte des Lilas;True;Métro 11
Porte des Lilas;Pyrénées;True;Métro 11
Pyrénées;Rambuteau;True;Métro 11
Rambuteau;Romainville-Carnot;True;Métro 11
Romainville-Carnot;Rosny-Bois-Perrier;True;Métro 11
Rosny-Bois-Perrier;République;True;Métro 11
République;Serge Gainsbourg;True;Métro 11
Serge Gainsbourg;Télégraphe;True;Métro 11
Abbesses;Aimé Césaire;True;Métro 12
Aimé Césaire;Assemblée Nationale;True;Métro 12
Assemblée Nationale;Concorde;True;Métro 12
Concorde;Convention;True;Métro 12
Convention;Corentin Celton;True;Métro 12
Corentin Celton;Falguière;True;Métro 12
Falguière;Front Populaire;True;Métro 12
Front Populaire;Jules Joffrin;True;Métro 12
Jules Joffrin;Lamarck - Caulaincourt;True;Métro 12
Lamarck - Caulaincourt;Madeleine;True;Métro 12
Madeleine;Mairie d'Aubervilliers;True;Métro 12
Mairie d'Aubervilliers;Mairie d'Issy;True;Métro 12
Mairie d'Issy;Marcadet - Poissonniers;True;Métro 12
Marcadet - Poissonniers;Marx Dormoy;True;Métro 12
Marx Dormoy;Montparnasse Bienvenue;True;Métro 12
Montparnasse Bienvenue;Notre-Dame des Champs;True;Métro 12
Notre-Dame des Champs;Notre-Dame-de-Lorette;True;Métro 12
Notre-Dame-de-Lorette;Pasteur;True;Métro 12
Pasteur;Pigalle;True;Métro 12
Pigalle;Porte de Versailles;True;Métro 12
Porte de Versailles;Porte de la Chapelle;True;Métro 12
Porte de la Chapelle;Rennes;True;Métro 12
Rennes;Rue du Bac;True;Métro 12
Rue du Bac;Saint-Georges;True;Métro 12
Saint-Georges;Saint-Lazare;True;Métro 12
Saint-Lazare;Solférino;True;Métro 12
Solférino;Sèvres - Babylone;True;Métro 12
Sèvres - Babylone;Trinité - d'Estienne d'Orves;True;Métro 12
Trinité - d'Estienne d'Orves;Vaugirard;True;Métro 12
Vaugirard;Volontaires;True;Métro 12
Asnières - Gennevilliers Les Courtilles;Basilique de Saint-Denis;True;Métro 13
Basilique de Saint-Denis;Brochant;True;Métro 13
Brochant;Carrefour Pleyel;True;Métro 13
Carrefour Pleyel;Champs-Elysées - Clemenceau;True;Métro 13
Champs-Elysées - Clemenceau;Châtillon-Montrouge;True;Métro 13
Châtillon-Montrouge;Duroc;True;Métro 13
Duroc;Gabriel Péri;True;Métro 13
Gabriel Péri;Garibaldi;True;Métro 13
Garibaldi;Gaîté;True;Métro 13
Gaîté;Guy Môquet;True;Métro 13
Guy Môquet;Invalides;True;Métro 13
Invalides;La Fourche;True;Métro 13
La Fourche;Les Agnettes;True;Métro 13
Les Agnettes;Liège;True;Métro 13
Liège;Mairie de Clichy;True;Métro 13
Mairie de Clichy;Mairie de Saint-Ouen;True;Métro 13
Mairie de Saint-Ouen;Malakoff - Plateau de Vanves;True;Métro 13
Malakoff - Plateau de Vanves;Malakoff - Rue Etienne Dolet;True;Métro 13
Malakoff - Rue Etienne Dolet;Miromesnil;True;Métro 13
Miromesnil;Montparnasse Bienvenue;True;Métro 13
Montparnasse Bienvenue;Pernety;True;Métro 13
Pernety;Place de Clichy;True;Métro 13
Place de Clichy;Plaisance;True;Métro 13
Plaisance;Porte de Clichy;True;Métro 13
Porte de Clichy;Porte de Saint-Ouen;True;Métro 13
Porte de Saint-Ouen;Porte de Vanves;True;Métro 13
Porte de Vanves;Saint-Denis - Porte de Paris;True;Métro 13
Saint-Denis - Porte de Paris;Saint-Denis - Université;True;Métro 13
